,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_flights,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE_airlines,AIRPORT_OriginAirport,CITY_OriginAirport,STATE_OriginAirport,COUNTRY_OriginAirport,LATITUDE_OriginAirport,LONGITUDE_OriginAirport,AIRPORT_DestinationAirport,CITY_DestinationAirport,STATE_DestinationAirport,COUNTRY_DestinationAirport,LATITUDE_DestinationAirport,LONGITUDE_DestinationAirport
1240183,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-22 00:00:00,7,WN,4142,N922WN,PDX,SJC,610,609.0,-1.0,10.0,619.0,110.0,99.0,84.0,569,743.0,5.0,800,748.0,-12.0,0,0,,,,,,,Southwest Airlines Co.,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901
773854,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-20 00:00:00,5,WN,289,N454WN,AUS,PHX,1830,1835.0,5.0,12.0,1847.0,155.0,150.0,130.0,872,1957.0,8.0,2005,2005.0,0.0,0,0,,,,,,,Southwest Airlines Co.,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
3589465,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-11 00:00:00,2,WN,1653,N657SW,LAS,MAF,1635,1733.0,58.0,14.0,1747.0,125.0,121.0,103.0,795,2130.0,4.0,2040,2134.0,54.0,0,0,,0.0,0.0,0.0,54.0,0.0,Southwest Airlines Co.,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,Midland International Airport,Midland,TX,USA,31.94253,-102.20191
4990766,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-08 00:00:00,7,DL,2195,N338NB,MSP,SLC,1429,1429.0,0.0,13.0,1442.0,170.0,162.0,143.0,991,1605.0,6.0,1619,1611.0,-8.0,0,0,,,,,,,Delta Air Lines Inc.,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
5459319,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-08 00:00:00,2,WN,1939,N903WN,LAS,BUF,1740,1734.0,-6.0,13.0,1747.0,250.0,247.0,230.0,1986,37.0,4.0,50,41.0,-9.0,0,0,,,,,,,Southwest Airlines Co.,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217
4127176,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-14 00:00:00,1,WN,2063,N729SW,OAK,LAS,1415,1415.0,0.0,15.0,1430.0,90.0,85.0,65.0,407,1535.0,5.0,1545,1540.0,-5.0,0,0,,,,,,,Southwest Airlines Co.,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
1387141,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-31 00:00:00,2,DL,2393,N933DL,BNA,ATL,530,525.0,-5.0,14.0,539.0,61.0,54.0,35.0,214,714.0,5.0,731,719.0,-12.0,0,0,,,,,,,Delta Air Lines Inc.,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
4610348,2015-01-01 00:00:00,1900-01-01 00:10:00,1900-01-15 00:00:00,4,WN,253,N481WN,10693,15304,805,803.0,-2.0,9.0,812.0,105.0,96.0,82.0,612,1034.0,5.0,1050,1039.0,-11.0,0,0,,,,,,,Southwest Airlines Co.,,,,,,,,,,,,
624237,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-11 00:00:00,3,B6,1480,N192JB,FLL,DCA,940,933.0,-7.0,13.0,946.0,141.0,138.0,121.0,899,1147.0,4.0,1201,1151.0,-10.0,0,0,,,,,,,JetBlue Airways,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
3208588,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-20 00:00:00,1,DL,974,N939DL,DTW,MKE,833,833.0,0.0,19.0,852.0,66.0,64.0,41.0,237,833.0,4.0,839,837.0,-2.0,0,0,,,,,,,Delta Air Lines Inc.,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658
3730138,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-20 00:00:00,4,B6,151,N351JB,BOS,MCO,730,727.0,-3.0,55.0,822.0,182.0,219.0,154.0,1121,1056.0,10.0,1032,1106.0,34.0,0,0,,34.0,0.0,0.0,0.0,0.0,JetBlue Airways,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
4458713,2015-01-01 00:00:00,1900-01-01 00:10:00,1900-01-05 00:00:00,1,AA,486,N194UW,14679,14107,1625,1618.0,-7.0,22.0,1640.0,76.0,79.0,51.0,304,1731.0,6.0,1741,1737.0,-4.0,0,0,,,,,,,American Airlines Inc.,,,,,,,,,,,,
401876,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-27 00:00:00,2,US,1925,,TPA,PHL,1220,,,,,146.0,,,920,,,1446,,,0,1,B,,,,,,US Airways Inc.,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
4279543,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-24 00:00:00,4,B6,1223,N374JB,DCA,MCO,915,903.0,-12.0,24.0,927.0,148.0,145.0,118.0,759,1125.0,3.0,1143,1128.0,-15.0,0,0,,,,,,,JetBlue Airways,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
5781932,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-29 00:00:00,2,B6,2070,N323JB,FLL,BOS,1350,1508.0,78.0,14.0,1522.0,187.0,179.0,153.0,1237,1755.0,12.0,1657,1807.0,70.0,0,0,,0.0,0.0,65.0,5.0,0.0,JetBlue Airways,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
2950372,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-04 00:00:00,6,WN,2139,N907WN,HOU,AUS,2010,2022.0,12.0,6.0,2028.0,50.0,38.0,28.0,148,2056.0,4.0,2100,2100.0,0.0,0,0,,,,,,,Southwest Airlines Co.,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987
3211822,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-20 00:00:00,1,AS,61,N619AS,YAK,CDV,1139,1131.0,-8.0,9.0,1140.0,47.0,50.0,36.0,213,1216.0,5.0,1226,1221.0,-5.0,0,0,,,,,,,Alaska Airlines Inc.,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765
2380812,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-31 00:00:00,7,OO,6413,N961SW,MSO,DEN,1708,1708.0,0.0,12.0,1720.0,122.0,123.0,96.0,679,1856.0,15.0,1910,1911.0,1.0,0,0,,,,,,,Skywest Airlines Inc.,Missoula International Airport,Missoula,MT,USA,46.91631,-114.09056,Denver International Airport,Denver,CO,USA,39.85841,-104.667
2338034,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-28 00:00:00,4,US,1708,N110UW,PHL,BOS,2115,2128.0,13.0,31.0,2159.0,84.0,84.0,47.0,280,2246.0,6.0,2239,2252.0,13.0,0,0,,,,,,,US Airways Inc.,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
3982080,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-04 00:00:00,5,B6,984,N239JB,RDU,BOS,1650,1646.0,-4.0,12.0,1658.0,114.0,99.0,84.0,612,1822.0,3.0,1844,1825.0,-19.0,0,0,,,,,,,JetBlue Airways,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
3834340,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-26 00:00:00,3,DL,1094,N333NB,DCA,MSP,1500,1454.0,-6.0,12.0,1506.0,156.0,147.0,132.0,931,1618.0,3.0,1636,1621.0,-15.0,0,0,,,,,,,Delta Air Lines Inc.,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
5554589,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-14 00:00:00,1,B6,72,N520JB,SLC,JFK,2251,2255.0,4.0,69.0,4.0,249.0,305.0,230.0,1990,554.0,6.0,500,600.0,60.0,0,0,,56.0,0.0,4.0,0.0,0.0,JetBlue Airways,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
1229138,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-21 00:00:00,6,US,1840,N570UW,LAS,CLT,935,927.0,-8.0,21.0,948.0,250.0,265.0,228.0,1916,1636.0,16.0,1645,1652.0,7.0,0,0,,,,,,,US Airways Inc.,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
5199196,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-21 00:00:00,6,WN,766,N7746C,MDW,CHS,1510,1908.0,238.0,22.0,1930.0,125.0,122.0,96.0,745,2206.0,4.0,1815,2210.0,235.0,0,0,,0.0,0.0,28.0,207.0,0.0,Southwest Airlines Co.,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051
4354126,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-29 00:00:00,2,DL,1890,N901DE,DFW,ATL,600,559.0,-1.0,17.0,616.0,130.0,138.0,104.0,731,900.0,17.0,910,917.0,7.0,0,0,,,,,,,Delta Air Lines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
2704777,2015-01-01 00:00:00,1900-01-01 00:06:00,1900-01-19 00:00:00,5,UA,1028,N26208,ORD,DCA,2050,2114.0,24.0,22.0,2136.0,117.0,104.0,77.0,612,2353.0,5.0,2347,2358.0,11.0,0,0,,,,,,,United Air Lines Inc.,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
3417991,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-01 00:00:00,6,EV,4184,N14203,IAH,MSY,1328,1433.0,65.0,9.0,1442.0,75.0,62.0,46.0,305,1528.0,7.0,1443,1535.0,52.0,0,0,,50.0,0.0,0.0,2.0,0.0,Atlantic Southeast Airlines,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803
4951125,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-05 00:00:00,4,DL,1210,N345NB,DTW,RDU,1952,1952.0,0.0,12.0,2004.0,108.0,109.0,94.0,501,2138.0,3.0,2140,2141.0,1.0,0,0,,,,,,,Delta Air Lines Inc.,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747
2082056,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-13 00:00:00,3,DL,1937,N678DL,BWI,DTW,607,600.0,-7.0,12.0,612.0,92.0,89.0,70.0,409,722.0,7.0,739,729.0,-10.0,0,0,,,,,,,Delta Air Lines Inc.,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
3696889,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-18 00:00:00,2,MQ,3663,N933MQ,ORD,CMH,720,719.0,-1.0,47.0,806.0,83.0,97.0,48.0,296,954.0,2.0,943,956.0,13.0,0,0,,,,,,,American Eagle Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188
937187,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-03 00:00:00,2,AA,1080,N017AA,ORD,EGE,1145,1150.0,5.0,19.0,1209.0,170.0,198.0,175.0,1007,1404.0,4.0,1335,1408.0,33.0,0,0,,33.0,0.0,0.0,0.0,0.0,American Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177
2217870,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-21 00:00:00,4,OO,5307,N938SW,SFO,ONT,1050,1043.0,-7.0,25.0,1108.0,87.0,93.0,63.0,363,1211.0,5.0,1217,1216.0,-1.0,0,0,,,,,,,Skywest Airlines Inc.,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,Ontario International Airport,Ontario,CA,USA,34.056,-117.60119
2215215,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-21 00:00:00,4,UA,1116,N77520,IAD,SAN,817,819.0,2.0,14.0,833.0,336.0,325.0,307.0,2253,1040.0,4.0,1053,1044.0,-9.0,0,0,,,,,,,United Air Lines Inc.,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966
614898,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-10 00:00:00,2,NK,245,N526NK,ORD,LAS,1540,1534.0,-6.0,20.0,1554.0,238.0,246.0,221.0,1514,1735.0,5.0,1738,1740.0,2.0,0,0,,,,,,,Spirit Air Lines,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
5406877,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-05 00:00:00,6,B6,280,N763JB,LGB,LAS,848,839.0,-9.0,10.0,849.0,66.0,58.0,39.0,231,928.0,9.0,954,937.0,-17.0,0,0,,,,,,,JetBlue Airways,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
5727664,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-26 00:00:00,6,MQ,3111,N692MQ,DRO,DFW,730,827.0,57.0,30.0,857.0,137.0,162.0,124.0,674,1201.0,8.0,1047,1209.0,82.0,0,0,,25.0,0.0,0.0,0.0,57.0,American Eagle Airlines Inc.,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
2870757,2015-01-01 00:00:00,1900-01-01 00:06:00,1900-01-29 00:00:00,1,UA,542,N824UA,DEN,PIT,1952,1950.0,-2.0,10.0,2000.0,185.0,176.0,162.0,1290,42.0,4.0,57,46.0,-11.0,0,0,,,,,,,United Air Lines Inc.,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287
1597770,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-13 00:00:00,1,UA,821,N467UA,CLE,SFO,637,633.0,-4.0,10.0,643.0,323.0,316.0,301.0,2161,844.0,5.0,900,849.0,-11.0,0,0,,,,,,,United Air Lines Inc.,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
3803650,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-24 00:00:00,1,UA,302,N465UA,MIA,EWR,1727,1723.0,-4.0,25.0,1748.0,181.0,192.0,162.0,1085,2030.0,5.0,2028,2035.0,7.0,0,0,,,,,,,United Air Lines Inc.,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866
4150408,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-16 00:00:00,3,B6,154,N706JB,PBI,JFK,600,,,,,160.0,,,1028,,,840,,,0,1,A,,,,,,JetBlue Airways,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
898113,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-28 00:00:00,6,DL,1624,N939DN,MSP,PHL,1950,1948.0,-2.0,13.0,2001.0,146.0,133.0,115.0,980,2256.0,5.0,2316,2301.0,-15.0,0,0,,,,,,,Delta Air Lines Inc.,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
1609581,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-13 00:00:00,1,NK,289,N633NK,IAG,MYR,1810,1810.0,0.0,9.0,1819.0,112.0,109.0,94.0,650,1953.0,6.0,2002,1959.0,-3.0,0,0,,,,,,,Spirit Air Lines,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833
2639047,2015-01-01 00:00:00,1900-01-01 00:06:00,1900-01-16 00:00:00,2,WN,4170,N791SW,BDL,LAS,715,714.0,-1.0,12.0,726.0,330.0,325.0,309.0,2297,935.0,4.0,945,939.0,-6.0,0,0,,,,,,,Southwest Airlines Co.,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
4793356,2015-01-01 00:00:00,1900-01-01 00:10:00,1900-01-26 00:00:00,1,OO,4542,N487CA,12280,14869,1823,1840.0,17.0,13.0,1853.0,56.0,53.0,35.0,188,1928.0,5.0,1919,1933.0,14.0,0,0,,,,,,,Skywest Airlines Inc.,,,,,,,,,,,,
1488027,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-06 00:00:00,1,DL,2384,N6707A,SLC,DCA,950,944.0,-6.0,33.0,1017.0,240.0,237.0,199.0,1851,1536.0,5.0,1550,1541.0,-9.0,0,0,,,,,,,Delta Air Lines Inc.,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
5335938,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-30 00:00:00,1,NK,863,N604NK,LBE,MCO,1755,1758.0,3.0,15.0,1813.0,139.0,137.0,112.0,824,2005.0,10.0,2014,2015.0,1.0,0,0,,,,,,,Spirit Air Lines,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
2981577,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-06 00:00:00,1,WN,465,N357SW,BWI,IND,1815,1811.0,-4.0,11.0,1822.0,100.0,90.0,74.0,516,1936.0,5.0,1955,1941.0,-14.0,0,0,,,,,,,Southwest Airlines Co.,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438
20433,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-02 00:00:00,5,DL,1706,N830DN,LAX,DTW,1135,1143.0,8.0,13.0,1156.0,269.0,246.0,227.0,1979,1843.0,6.0,1904,1849.0,-15.0,0,0,,,,,,,Delta Air Lines Inc.,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
3764891,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-22 00:00:00,6,DL,2018,N827DN,ATL,MCO,855,852.0,-3.0,14.0,906.0,81.0,82.0,62.0,404,1008.0,6.0,1016,1014.0,-2.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
5538153,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-13 00:00:00,7,B6,948,N954JB,LAS,JFK,2155,2202.0,7.0,20.0,2222.0,281.0,279.0,251.0,2248,533.0,8.0,536,541.0,5.0,0,0,,,,,,,JetBlue Airways,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
4027387,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-08 00:00:00,2,AA,1879,N833AW,TPA,CLT,510,508.0,-2.0,12.0,520.0,95.0,99.0,75.0,507,635.0,12.0,645,647.0,2.0,0,0,,,,,,,American Airlines Inc.,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
1202864,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-19 00:00:00,4,WN,1456,N440LV,MCO,PVD,1640,1650.0,10.0,8.0,1658.0,155.0,156.0,143.0,1072,1921.0,5.0,1915,1926.0,11.0,0,0,,,,,,,Southwest Airlines Co.,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822
3030206,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-09 00:00:00,4,WN,3133,N357SW,SAN,PHX,1505,1526.0,21.0,8.0,1534.0,70.0,62.0,48.0,304,1622.0,6.0,1615,1628.0,13.0,0,0,,,,,,,Southwest Airlines Co.,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
1212897,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-20 00:00:00,5,US,1946,N545UW,CLT,ORD,950,943.0,-7.0,27.0,1010.0,138.0,137.0,100.0,599,1050.0,10.0,1108,1100.0,-8.0,0,0,,,,,,,US Airways Inc.,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
153094,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-10 00:00:00,6,OO,5242,N766SK,IAH,BHM,1925,1921.0,-4.0,30.0,1951.0,96.0,103.0,70.0,562,2101.0,3.0,2101,2104.0,3.0,0,0,,,,,,,Skywest Airlines Inc.,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355
2546543,2015-01-01 00:00:00,1900-01-01 00:06:00,1900-01-10 00:00:00,3,OO,2859,N693BR,RNO,LAX,1525,1556.0,31.0,11.0,1607.0,93.0,95.0,70.0,391,1717.0,14.0,1658,1731.0,33.0,0,0,,2.0,0.0,0.0,31.0,0.0,Skywest Airlines Inc.,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
2305828,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-27 00:00:00,3,OO,6461,N773SK,RAP,DEN,600,557.0,-3.0,11.0,608.0,78.0,73.0,50.0,300,658.0,12.0,718,710.0,-8.0,0,0,,,,,,,Skywest Airlines Inc.,Rapid City Regional Airport,Rapid City,SD,USA,44.04532,-103.05737,Denver International Airport,Denver,CO,USA,39.85841,-104.667
3903708,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-30 00:00:00,7,VX,1911,N642VA,LAS,SFO,2235,2230.0,-5.0,9.0,2239.0,90.0,80.0,69.0,414,2348.0,2.0,5,2350.0,-15.0,0,0,,,,,,,Virgin America,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
1781463,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-24 00:00:00,5,DL,975,N358NW,PDX,SLC,1035,1028.0,-7.0,15.0,1043.0,100.0,103.0,82.0,630,1305.0,6.0,1315,1311.0,-4.0,0,0,,,,,,,Delta Air Lines Inc.,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
4037219,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-08 00:00:00,2,WN,3059,N564WN,LAS,PDX,1510,1507.0,-3.0,8.0,1515.0,135.0,124.0,112.0,763,1707.0,4.0,1725,1711.0,-14.0,0,0,,,,,,,Southwest Airlines Co.,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,Portland International Airport,Portland,OR,USA,45.58872,-122.5975
4217896,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-20 00:00:00,7,WN,2746,N618WN,OAK,LAS,1205,1226.0,21.0,9.0,1235.0,85.0,86.0,71.0,407,1346.0,6.0,1330,1352.0,22.0,0,0,,1.0,0.0,1.0,20.0,0.0,Southwest Airlines Co.,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
4841540,2015-01-01 00:00:00,1900-01-01 00:10:00,1900-01-29 00:00:00,4,AA,2174,N965UW,11278,12953,1900,1859.0,-1.0,43.0,1942.0,90.0,93.0,44.0,214,2026.0,6.0,2030,2032.0,2.0,0,0,,,,,,,American Airlines Inc.,,,,,,,,,,,,
633197,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-11 00:00:00,3,UA,1647,N23707,ORD,IAH,1847,1846.0,-1.0,21.0,1907.0,175.0,164.0,136.0,925,2123.0,7.0,2142,2130.0,-12.0,0,0,,,,,,,United Air Lines Inc.,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
1462826,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-04 00:00:00,6,DL,848,N948DN,MSP,ATL,1520,1606.0,46.0,12.0,1618.0,147.0,124.0,105.0,907,1903.0,7.0,1847,1910.0,23.0,0,0,,0.0,0.0,23.0,0.0,0.0,Delta Air Lines Inc.,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
